iter	Logloss
0	0.6743714999
1	0.6565669109
2	0.6310422617
3	0.6196048468
4	0.5868479165
5	0.5740256973
6	0.5628102493
7	0.5477720606
8	0.5316016012
9	0.5232580677
10	0.513421629
11	0.5026679978
12	0.4957279898
13	0.4825119268
14	0.4760288506
15	0.466698434
16	0.466016556
17	0.458463103
18	0.4584101665
19	0.4493359323
20	0.4389753465
21	0.4367266729
22	0.4310080453
23	0.4215317306
24	0.4138429432
25	0.4086819226
26	0.4055121682
27	0.4037178344
28	0.3982594971
29	0.3930841034
30	0.3891557956
31	0.3848466036
32	0.3827922662
33	0.3799279517
34	0.373213592
35	0.3643157086
36	0.3603961796
37	0.3587759555
38	0.352173438
39	0.3490678825
40	0.342242915
41	0.3415014814
42	0.3374575504
43	0.3369181976
44	0.3331603529
45	0.3287881162
46	0.3249354065
47	0.3182824198
48	0.3138636863
49	0.3095454021
50	0.2989778359
51	0.2872272048
52	0.282727648
53	0.2795363205
54	0.2736721039
55	0.2648665405
56	0.2573590903
57	0.2536035208
58	0.2474491119
59	0.240581081
60	0.2335838225
61	0.2278602879
62	0.2236359395
63	0.2209140833
64	0.2164405667
65	0.2125398708
66	0.2100474776
67	0.2064072384
68	0.2041575898
69	0.2017583426
70	0.1986181972
71	0.1953586367
72	0.193602018
73	0.1921137512
74	0.1907318316
75	0.1884299687
76	0.1867178805
77	0.1851273787
78	0.1827201443
79	0.1810709916
80	0.1795794492
81	0.1783376376
82	0.1762379299
83	0.1746631967
84	0.1736700484
85	0.172338454
86	0.1701592235
87	0.1688386061
88	0.1677837823
89	0.1668740754
90	0.1658271302
91	0.164623923
92	0.1635525516
93	0.1626954116
94	0.1611714215
95	0.1599061911
96	0.1586920833
97	0.157503566
98	0.1567757031
99	0.1559102075
100	0.1546862259
101	0.1539055164
102	0.1529043823
103	0.1520563871
104	0.1513347965
105	0.1502547601
106	0.1494714202
107	0.1487485764
108	0.1478355433
109	0.1469640361
110	0.1459698995
111	0.1451803595
112	0.144026915
113	0.1432763539
114	0.1425390445
115	0.1417014987
116	0.1410643243
117	0.14029999
118	0.1394491676
119	0.1391262483
120	0.1380944417
121	0.1371527075
122	0.1365542897
123	0.135737289
124	0.1349154437
125	0.1339996149
126	0.1335277418
127	0.1329749596
128	0.1325485767
129	0.1321340198
130	0.1313151578
131	0.1304646677
132	0.1295545447
133	0.1289216208
134	0.12803591
135	0.1272973102
136	0.1263941062
137	0.1256637549
138	0.1248093848
139	0.123942796
140	0.1234200055
141	0.122694645
142	0.1220111627
143	0.1214683807
144	0.1208848065
145	0.1204564863
146	0.1199700396
147	0.1192488995
148	0.118491367
149	0.1178512748
150	0.1174534485
151	0.1168589865
152	0.1162172364
153	0.114888808
154	0.114309282
